Thời gian crawl dữ liệu,Tên mã chứng khoán,Cập nhật,Giá kết thúc phiên,Giá so với tham chiếu,Khối lượng,Giá tham chiếu,Giá trần,Giá sàn,Giá mở cửa,Giá cao nhất,Giá thấp nhất,KLGD ròng,GT mua,GT bán,Room còn lại
2025-07-06 18:41:26.833701,NVL,"15:15 T6, 04/07/2025",15.20,0.3 (2.01%),"19,704,300",14.9,15.9,13.9,15,15.45,14.95,"5,271,400",108.31 (Tỷ),28.18 (Tỷ),39.94 (%)
2025-07-06 18:43:36.747810,NVL,"15:15 T6, 04/07/2025",15.20,0.3 (2.01%),"19,704,300",14.9,15.9,13.9,15,15.45,14.95,"5,271,400",108.31 (Tỷ),28.18 (Tỷ),39.94 (%)
2025-07-06 18:44:52.719598,NVL,"15:15 T6, 04/07/2025",15.20,0.3 (2.01%),"19,704,300",14.9,15.9,13.9,15,15.45,14.95,"5,271,400",108.31 (Tỷ),28.18 (Tỷ),39.94 (%)
2025-07-06 19:01:34.502665,NVL,"15:15 T6, 04/07/2025",15.20,0.3 (2.01%),"19,704,300",14.9,15.9,13.9,15,15.45,14.95,"5,271,400",108.31 (Tỷ),28.18 (Tỷ),39.94 (%)
2025-07-06 19:02:05.939678,NVL,"15:15 T6, 04/07/2025",15.20,0.3 (2.01%),"19,704,300",14.9,15.9,13.9,15,15.45,14.95,"5,271,400",108.31 (Tỷ),28.18 (Tỷ),39.94 (%)
2025-07-06 19:07:09.047330,NVL,"15:15 T6, 04/07/2025",15.20,0.3 (2.01%),"19,704,300",14.9,15.9,13.9,15,15.45,14.95,"5,271,400",108.31 (Tỷ),28.18 (Tỷ),39.94 (%)
2025-07-07 21:16:41.355072,NVL,"15:15 T2, 07/07/2025",15.30,0.1 (0.66%),"22,592,200",15.2,16.25,14.15,15.2,15.45,15.05,"1,622,600",46.5 (Tỷ),21.68 (Tỷ),40.13 (%)
2025-07-08 14:36:03.671297,NVL,"14:36 T3, 08/07/2025",15.75,0.45 (2.94%),"28,697,500",15.3,16.35,14.25,15.4,15.85,15.25,"4,710,226",74.19 (Tỷ),15.66 (Tỷ),39.98 (%)
2025-07-09 07:06:18.765776,NVL,"15:15 T3, 08/07/2025",15.70,0.4 (2.61%),"29,492,800",15.3,16.35,14.25,15.4,15.85,15.25,"3,825,226",78.33 (Tỷ),18.27 (Tỷ),39.78 (%)
2025-07-10 00:09:31.537663,NVL,"15:15 T4, 09/07/2025",15.45,-0.25 (-1.59%),"20,413,500",15.7,16.75,14.65,15.8,15.8,15.4,"-1,745,800",32.16 (Tỷ),59.13 (Tỷ),40.07 (%)
