Thời gian crawl dữ liệu,Tên mã chứng khoán,Cập nhật,Giá kết thúc phiên,Giá so với tham chiếu,Khối lượng,Giá tham chiếu,Giá trần,Giá sàn,Giá mở cửa,Giá cao nhất,Giá thấp nhất,KLGD ròng,GT mua,GT bán,Room còn lại
2025-07-06 18:00:09.364072,VCB,"15:15 T6, 04/07/2025",58.40,0.5 (0.86%),"4,849,700",57.9,61.9,53.9,57.9,58.8,57.8,"660,789",60.86 (Tỷ),22.27 (Tỷ),7.89 (%)
2025-07-06 18:03:51.708476,VCB,"15:15 T6, 04/07/2025",58.40,0.5 (0.86%),"4,849,700",57.9,61.9,53.9,57.9,58.8,57.8,"660,789",60.86 (Tỷ),22.27 (Tỷ),7.89 (%)
2025-07-06 18:41:22.192305,VCB,"15:15 T6, 04/07/2025",58.40,0.5 (0.86%),"4,849,700",57.9,61.9,53.9,57.9,58.8,57.8,"660,789",60.86 (Tỷ),22.27 (Tỷ),7.89 (%)
2025-07-06 18:44:48.327655,VCB,"15:15 T6, 04/07/2025",58.40,0.5 (0.86%),"4,849,700",57.9,61.9,53.9,57.9,58.8,57.8,"660,789",60.86 (Tỷ),22.27 (Tỷ),7.89 (%)
2025-07-06 19:01:29.567231,VCB,"15:15 T6, 04/07/2025",58.40,0.5 (0.86%),"4,849,700",57.9,61.9,53.9,57.9,58.8,57.8,"660,789",60.86 (Tỷ),22.27 (Tỷ),7.89 (%)
2025-07-06 19:02:01.359226,VCB,"15:15 T6, 04/07/2025",58.40,0.5 (0.86%),"4,849,700",57.9,61.9,53.9,57.9,58.8,57.8,"660,789",60.86 (Tỷ),22.27 (Tỷ),7.89 (%)
2025-07-06 19:07:04.453948,VCB,"15:15 T6, 04/07/2025",58.40,0.5 (0.86%),"4,849,700",57.9,61.9,53.9,57.9,58.8,57.8,"660,789",60.86 (Tỷ),22.27 (Tỷ),7.89 (%)
2025-07-07 21:16:33.514994,VCB,"15:15 T2, 07/07/2025",58.60,0.2 (0.34%),"8,048,100",58.4,62.4,54.4,58.5,58.9,58.2,"-2,364,253",90.77 (Tỷ),229.32 (Tỷ),7.93 (%)
2025-07-08 14:35:58.173391,VCB,"14:35 T3, 08/07/2025",59.10,0.5 (0.85%),"9,982,200",58.6,62.7,54.5,58.8,59.5,58.6,"3,049,160",180.21 (Tỷ),280.57 (Tỷ),7.92 (%)
2025-07-08 17:03:26.836446,VCB,"15:15 T3, 08/07/2025",59.00,0.4 (0.68%),"10,393,800",58.6,62.7,54.5,58.8,59.5,58.6,"-1,785,393",206.29 (Tỷ),311.63 (Tỷ),7.92 (%)
2025-07-09 07:06:13.168326,VCB,"15:15 T3, 08/07/2025",59.00,0.4 (0.68%),"10,393,800",58.6,62.7,54.5,58.8,59.5,58.6,"-1,785,393",206.29 (Tỷ),311.63 (Tỷ),7.92 (%)
2025-07-10 00:09:26.643089,VCB,"15:15 T4, 09/07/2025",61.50,2.5 (4.24%),"16,423,300",59,63.1,54.9,59.4,61.8,59.4,"4,190,208",304.92 (Tỷ),47.22 (Tỷ),7.83 (%)
